Time,bit-x,bitbay,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
2019-05-19 04:00:00 UTC,7915.35380952381,,7894.90242889132,7937.02749154835,7927.90176211453,7933.23929032256,7883.04053213433,7938.53632947976,7935.39534883721,7942.39185544769
2019-05-19 05:00:00 UTC,7960.86419354839,,7925.28086798265,7962.70127678572,7969.03202614379,7967.97749148344,7912.72278253209,7971.68308108109,7962.13461538462,7965.38871119473
2019-05-19 06:00:00 UTC,7949.0646875,,7917.47437233333,7952.90122784809,7958.68598130841,7953.14408261804,7897.74250237665,7949.6791,7961.19817073171,7953.63991228069
2019-05-19 07:00:00 UTC,7971.18,,7934.33876091419,7975.31165622204,7990.47828947368,7970.66624566616,7907.23929321027,7975.13615384616,7975.6779661017,7977.38159922928
2019-05-19 08:00:00 UTC,7959.81551724138,,7928.69616439196,7960.05610630408,7972.74383561644,7957.15317413664,7901.18146231654,7960.76459459459,7958.73670212766,7959.60512422361
2019-05-19 09:00:00 UTC,7995.285,,7989.12101909675,8028.69109685695,8037.35984848485,8030.80725727237,7936.28351873289,8046.5854,8021.73397435897,8035.73457008247
2019-05-19 10:00:00 UTC,8095.98935483871,,8059.22475627085,8106.18794188862,8126.2724137931,8106.45866574009,8011.11599459473,8108.5345631068,8115.72826086957,8107.48920086392
2019-05-19 11:00:00 UTC,8071.00653846154,,8002.70482482799,8056.59997330962,8075.03105590062,8058.89833606554,7959.07189113793,8061.9531147541,8044.3550955414,8050.63251473477
2019-05-19 12:00:00 UTC,7963.7825,,7913.81492486269,7935.12932639648,7900.17581699346,7929.87674449633,7827.97495927894,7889.42261101242,7922.38014981273,7917.75659050965
2019-05-19 13:00:00 UTC,7932.55129032258,,7918.31008814695,7932.88830115829,7967.33362068965,7929.19635953791,7829.3147417207,7929.85318965517,7921.92582417582,7921.54741035857
2019-05-19 14:00:00 UTC,7928.41325581395,,7926.98272214883,7931.61450819673,7949.70952380952,7930.68201776648,7809.14285514836,7929.97761904762,7927.30067567568,7928.01945288753
2019-05-19 15:00:00 UTC,7944.99807692308,,7954.21420644944,7947.72633986927,7964.07529411765,7948.4655860534,7834.35732169351,7950.37339285715,7963.64285714286,7954.51353383458
2019-05-19 16:00:00 UTC,7945.37142857143,,7940.11141279794,7938.55667586208,7962.29677419355,7941.06052190123,7838.28417699631,7947.4064935065,7945.2806122449,7938.92256699578
2019-05-19 17:00:00 UTC,7958.98807692308,,7984.68536635391,7976.1480484694,8003.65405405405,7977.24652661871,7861.47857949567,7981.91596590909,7975.72619047619,7982.19308510637
2019-05-19 18:00:00 UTC,7981.54666666667,,7989.65660000859,7981.81751807228,8003.70535714286,7984.85202723145,7853.41650988726,7985.90757281553,7982.77659574468,7981.50679611651
2019-05-19 19:00:00 UTC,8003.10047619047,,8023.46849333612,8011.77704668838,8010.82643678161,8005.06849679194,7875.42539592229,8017.05880733947,8010.45804195804,8019.09003802281
2019-05-19 20:00:00 UTC,7975.37285714285,,7967.27404940492,7978.21045454546,7980.67118644068,7978.66552145413,7851.02546469038,7971.9050420168,7970.76829268293,7979.30257680872
2019-05-19 21:00:00 UTC,8053.085,,8058.91412579519,8057.40936877076,8055.19047619048,8056.51088139285,7909.87537734696,8062.60138686131,8057.55909090909,8072.6452307692
2019-05-19 22:00:00 UTC,8127.57342857143,,8143.91869368762,8162.5372285464,8154.16911196911,8152.16109013912,7964.6048897329,8172.44248951046,8169.02534562212,8159.57779255321
2019-05-19 23:00:00 UTC,8239.989375,,8222.91420540139,8242.1955803788,8223.31052631579,8239.19754504512,8033.81539608677,8249.18554323727,8244.98634812287,8238.00212314227
2019-05-20 00:00:00 UTC,8049.66153846154,,8012.01364896792,8013.41797619045,7975.47685714285,8009.02918324794,7833.43581445233,7986.53618055557,8010.60161870504,7997.2417742707
2019-05-20 01:00:00 UTC,7951.87297297297,,7945.70052855787,7944.37415716097,7929.70777777778,7944.73421186012,7768.4642118883,7948.12530973451,7940.02607361963,7941.67097966729
2019-05-20 02:00:00 UTC,7943.6975,,7930.87975768994,7933.35006410257,7918.00666666667,7935.39615188953,7768.76666828333,7930.94353846154,7934.07986111111,7931.25934515689
2019-05-20 03:00:00 UTC,7997.73111111111,,8009.17424787404,8018.40523076924,7995.18923076923,8018.75298832436,7856.94211992908,8035.03663430422,8040.92171717172,8017.71101243339
2019-05-20 04:00:00 UTC,8067.88192307692,,8061.0191359436,8079.75829809723,8070.48571428572,8079.73985422742,7892.10468108736,8081.68699604743,8079.42314814815,8077.58888888889
2019-05-20 05:00:00 UTC,8004.479,,7992.81828308847,7998.68505197504,8000.90352941177,7999.30952086554,7823.59280963286,8001.86351648352,7998.91295546559,7995.16017316018
2019-05-20 06:00:00 UTC,7963.41,,7932.88338514527,7943.86674881515,7934.55481481481,7936.17510856203,7778.34745371053,7918.49608843537,7925.77517985611,7923.85945639864
2019-05-20 07:00:00 UTC,7931.2015625,,7921.14611906848,7930.90759672618,7924.10862068965,7931.39478290368,7759.81634761319,7917.78846733668,7936.76047904192,7928.06678445228
2019-05-20 08:00:00 UTC,7881.06956521739,,7835.96644900931,7859.53074746009,7861.28301886792,7840.2682359457,7699.22430683021,7833.1726098901,7851.23795180723,7816.43268560038
2019-05-20 09:00:00 UTC,7891.981,,7863.75073869943,7892.33534859521,7898.33636363636,7895.25473228772,7742.03860789138,7898.8128742515,7900.235,7893.45642317382
2019-05-20 10:00:00 UTC,7935.906,,7905.71933761073,7937.10398584905,7927.97666666667,7933.3793507973,7800.62382114939,7933.5138317757,7933.97023809524,7932.00961538463
2019-05-20 11:00:00 UTC,7889.51666666667,,7869.27025090741,7889.60675166297,7897.83272727272,7887.1410403662,7782.4482600845,7904.46408805031,7895.65725806452,7889.24448669199
2019-05-20 12:00:00 UTC,7838.18633333333,,7791.35240064776,7793.93310237848,7830.70874125874,7787.29157294213,7740.48478714928,7766.45824561404,7794.70886075949,7784.18867924524
2019-05-20 13:00:00 UTC,7693.26384615384,,7688.56069056949,7682.12940427467,7686.04634146341,7683.5434600932,7651.35371119007,7671.03626593806,7683.42272727273,7682.76751004018
2019-05-20 14:00:00 UTC,7760.04678571429,,7750.61242432122,7760.57610027855,7769.99859154929,7761.70005780348,7708.90342010966,7759.15034632034,7771.11184210526,7767.58336755646
2019-05-20 15:00:00 UTC,7789.5708,,7782.05634736379,7797.53721991701,7802.71919191919,7797.0579766734,7735.09960249521,7797.44104,7799.65625,7819.8944547135
2019-05-20 16:00:00 UTC,7858.53586206896,,7837.51313770893,7858.91152923539,7877.43398058252,7859.26484905159,7777.50034097773,7864.52620087336,7862.5775862069,7860.59155908639
2019-05-20 17:00:00 UTC,7822.24409090909,,7801.09163301658,7813.42313394018,7820.50662650603,7818.46967213114,7759.59774892177,7812.33874999999,7814.24206349206,7814.84148571429
2019-05-20 18:00:00 UTC,7751.2936,,7737.29571370899,7740.32236739973,7747.73454545455,7746.7936330394,7700.1075272504,7744.01931034483,7737.33173076923,7744.69842845327
2019-05-20 19:00:00 UTC,7804.82523809524,,7805.95553719534,7814.19777777777,7795.24636363637,7808.65738394319,7739.86012663125,7814.33907216495,7809.36956521739,7814.25349829353
2019-05-20 20:00:00 UTC,7859.40673076923,,7892.39355303168,7898.84601555748,7834.53774509804,7895.94,7804.97509415476,7908.67011267606,7895.09455128205,7915.09909188035
2019-05-20 21:00:00 UTC,8057.26836363636,,8041.15865432097,8071.80191411043,8006.95767634855,8071.11411882713,7942.69108720082,8075.56889279437,8075.5625,8074.92864389584
2019-05-20 22:00:00 UTC,8018.526875,,7982.55008498433,8018.8376618705,7954.95294117647,8020.38121793536,7908.49715977107,8034.98937336815,7996.35129310345,8015.19407814406
2019-05-20 23:00:00 UTC,7969.07445945946,,7968.3339461599,7969.10573065903,7901.50784313725,7968.96407898374,7866.76288959953,7973.75355212356,7968.10483870968,7971.4765917603
2019-05-21 00:00:00 UTC,7988.8574,,7985.16238019519,7981.88945295404,7938.50051282051,7985.68531811187,7905.8559209908,7984.85579591838,7969.94230769231,8002.13557971014
2019-05-21 01:00:00 UTC,7959.71660377359,,7936.69542688541,7952.03739054291,7896.53218390805,7957.42884310619,7854.78651795098,7961.62650537634,7948.76219512195,7952.40238450075
2019-05-21 02:00:00 UTC,7911.81,,7881.37280229306,7890.82294261295,7843.91129032259,7890.84609286815,7811.49735218079,7888.46786231884,7888.96835443038,7889.4637540453
2019-05-21 03:00:00 UTC,7940.29305555555,,7923.10782211545,7941.00130653266,7886.609375,7942.26483801297,7842.60325405011,7942.76948905109,7943.85465116279,7938.42707581227
2019-05-21 04:00:00 UTC,7915.91081339713,,7896.11247777221,7905.15176895307,7865.94,7907.38723321692,7817.55519898666,7908.77611764706,7903.93641439206,7903.35916361125
2019-05-21 05:00:00 UTC,7910.3995,,7881.24783154268,7891.00054411766,7839.69898989899,7889.87083124688,7789.33243546481,7893.82194915254,7875.60655737705,7889.82951127821
2019-05-21 06:00:00 UTC,7919.46527272727,,7913.13879800191,7922.38340463459,7871.34897959184,7923.10981829576,7824.41214945356,7922.10604651163,7926.39,7925.11837837837
2019-05-21 07:00:00 UTC,7952.65755102041,,7940.61701468986,7951.87174386922,7906.06557377049,7948.88598066298,7859.8284439964,7948.07826086957,7955.15476190476,7957.7912371134
2019-05-21 08:00:00 UTC,7951.77712121212,,7945.22909638069,7952.54638805971,7905.26666666666,7949.56213683223,7852.96491128346,7951.93365853659,7953.46875,7952.62508143322
