Time,bit-x,bitbay,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,kraken,others
2019-05-19 04:00:00 UTC,223.9583,155.37041257,1812.30465422998,734.401601879992,586.444903549999,1458.17676194,1722.66419154999,102.3504985661,1136.86004111,534.422454769372
2019-05-19 05:00:00 UTC,233.053,255.09059379,869.776785289963,453.004618789997,335.66985769,710.65001303,919.12866644,58.0147018295,622.86443307,344.398697060801
2019-05-19 06:00:00 UTC,260.3909,169.00367453,353.734885779983,292.263479929999,160.46147575,298.4246272,456.78314669,24.89109565,366.12660719,209.74716270362632
2019-05-19 07:00:00 UTC,256.9303,128.92574089,679.224298859982,422.740292599997,380.85603388,497.927104219999,582.36141813,56.0997408127,697.187869169999,288.6232633697789
2019-05-19 08:00:00 UTC,233.0854,104.72653275,435.349280309985,278.0802951,239.050226190001,272.81164319,483.73387394,30.3791317726,445.36513898,247.5292434038828
2019-05-19 09:00:00 UTC,223.9271,76.43856156,1103.904633,484.4164562,325.223657190001,671.801796699999,1159.3286103,53.1210899399999,929.844708719999,318.7734721254062
2019-05-19 10:00:00 UTC,225.1244,63.28028991,1406.33155501002,747.883456569991,393.06340277,929.576654349998,1113.97815841,91.5134119718999,1302.71882838,406.927931426901
2019-05-19 11:00:00 UTC,251.7112,26.11375673,860.983352069979,540.923286529996,301.610424300001,576.832980089999,994.639477169998,37.7609874936,650.084523260001,341.14582733226104
2019-05-19 12:00:00 UTC,219.8757,107.0581404,1025.99136389998,862.236718869981,462.49633481,1194.70153222,2181.48675936999,328.281524863,1574.55007017999,505.78307338997604
2019-05-19 13:00:00 UTC,251.5155,186.83643069,533.500846829987,500.057615749998,260.062109400001,741.634066839998,989.97051376,201.9940128393,706.20624591,371.1377039360286
2019-05-19 14:00:00 UTC,261.3033,200.10559168,280.16779103,218.7278763,185.51705911,186.03016391,481.396623610001,14.478592318,306.76195362,205.908087937373
2019-05-19 15:00:00 UTC,225.3834,142.29885378,369.078258249998,150.95752827,162.67275084,312.38904371,613.160206269999,16.9688772435,215.58180778,241.8281290042221
2019-05-19 16:00:00 UTC,256.7512,156.29614836,468.401346919992,195.08383587,134.39317455,268.685599280001,659.774791439998,28.754613161,353.88606508,184.1495479617253
2019-05-19 17:00:00 UTC,235.3507,162.96539907,400.126241319992,173.92763462,126.67122544,561.57480698,787.024101189998,47.1340744155,635.781108909999,224.8416630924151
2019-05-19 18:00:00 UTC,212.7317,194.81869599,153.228986100001,48.6746636700001,34.40022179,107.95142937,412.9532857,23.500088993,194.99091621,100.37295029666653
2019-05-19 19:00:00 UTC,212.7264,105.34209735,890.07468279999,266.89401101,118.79236573,543.75077426,1157.04090144,109.8324262101,874.81214345,261.4060929646011
2019-05-19 20:00:00 UTC,241.7989,110.17960937,515.448411389985,232.90073687,107.11354293,320.82094147,688.374490719998,24.0089597688,651.99687771,168.6011306398163
2019-05-19 21:00:00 UTC,213.5393,87.77594504,319.201114379997,235.05034262,193.6627366,415.55958388,788.297915059998,17.8305794285,1248.88266081,183.723589507405
2019-05-19 22:00:00 UTC,226.2652,197.96432195,2173.20416598004,929.344426779993,589.7714543,1124.82615155999,2781.38856131,269.1800208702,2308.84340705999,586.24537236159
2019-05-19 23:00:00 UTC,241.336,326.22550758,1478.06799408002,805.799568069987,706.318324960003,1745.35743444,2129.75452337999,164.3928537894,2158.43794330998,547.009502335463
2019-05-20 00:00:00 UTC,223.2445,444.03225842,2909.42373788016,1100.60069922998,793.537236020002,1914.45430572999,4277.26131432004,672.5154108328,2322.17455118999,912.3242658666231
2019-05-20 01:00:00 UTC,263.9502,298.01114626,695.196074279978,407.109774079999,313.6401286,317.535637740001,899.211231769998,101.8303384561,492.07893932,211.22352266838578
2019-05-20 02:00:00 UTC,260.4031,72.221607,194.89313835,272.915911259999,208.03262069,161.06127862,443.774506329999,61.3286298605,210.80081901,160.7670399949045
2019-05-20 03:00:00 UTC,249.8692,87.1297100100001,545.433936459991,438.874480109998,246.40852647,665.63126509,960.451149779998,115.4227737792,663.98008616,407.95211645469794
2019-05-20 04:00:00 UTC,245.4024,39.97043944,502.138751809979,464.369604739997,403.03761182,537.75437039,809.81676106,119.4149299354,692.20861075,370.196814173054
2019-05-20 05:00:00 UTC,229.6297,93.43681478,306.034744469994,294.74619919,250.847703000001,407.12218061,759.042027259997,63.5904957135,386.2555685,323.922155291558
2019-05-20 06:00:00 UTC,242.4963,135.00503571,728.528799489997,413.684195859998,229.54399817,892.69894732,1221.55466918,155.59278979,577.62626088,262.944375248024
2019-05-20 07:00:00 UTC,271.6721,293.97356136,744.856606249995,559.331768039997,313.07501917,768.61517177,1387.04843825,380.9330706708,767.44069469,356.7022737803789
2019-05-20 08:00:00 UTC,233.1794,119.02851982,1262.99660251,490.053286729997,391.15346765,702.945652369999,1643.24715077999,145.9555475,1425.01792108,388.34965850098996
2019-05-20 09:00:00 UTC,230.7543,232.13071488,793.009540299986,344.335146579999,193.61829567,555.798508619999,791.97610686,82.84313562,766.02249627,265.7072248855342
2019-05-20 10:00:00 UTC,231.7163,154.82884324,512.313137749988,217.558653819999,211.774908560001,332.32624387,719.28339993,59.3625540734,562.331304739999,241.12520210402658
2019-05-20 11:00:00 UTC,223.4391,196.704139689999,405.83608780999,297.926855059999,163.72583824,423.0395147,703.78897875,45.7793115296,574.779020099999,300.8159333939458
2019-05-20 12:00:00 UTC,299.9058,112.8861843,1043.31846291998,702.781653489989,484.567733839999,1318.79142493,1767.32606185999,115.198329023,1335.98762979,397.404463843979
