Time,asks,bids,price
2019-05-22 11:00:00 UTC,22480187.21,14861856.95,7820.22
2019-05-22 12:00:00 UTC,23063905.46,14915630.9,7829.367222
2019-05-22 13:00:00 UTC,23238511.57,15179754.92,7836.337647
2019-05-22 14:00:00 UTC,23710617.76,15509525.36,7871.336667
2019-05-22 15:00:00 UTC,24034535.71,15331470.63,7945.780278
2019-05-22 16:00:00 UTC,24366960.26,15542020.34,7961.811389
2019-05-22 17:00:00 UTC,24489903.21,15365896.1,7918.693333
2019-05-22 18:00:00 UTC,24536814.88,15329357.98,7904.501389
2019-05-22 19:00:00 UTC,25032203.95,15716003.58,7908.565588
2019-05-22 20:00:00 UTC,24742782.6,14307708.15,7848.250278
2019-05-22 21:00:00 UTC,22879213.56,14701683.85,7757.613889
2019-05-22 22:00:00 UTC,19748211.44,13297427.74,7688.616111
2019-05-22 23:00:00 UTC,19684904.23,12726282.99,7685.964722
2019-05-23 00:00:00 UTC,17016857.86,14562266.52,7615.107059
2019-05-23 01:00:00 UTC,17827951.93,14937741.8,7641.955556
2019-05-23 02:00:00 UTC,18112977,14994533.58,7647.654722
2019-05-23 03:00:00 UTC,18909687.74,15209166.44,7644.735278
2019-05-23 04:00:00 UTC,19518791.86,14677405.41,7663.796944
2019-05-23 05:00:00 UTC,18129750.49,15056247.34,7632.176389
2019-05-23 06:00:00 UTC,17593182.38,14876160.05,7610.528333
2019-05-23 07:00:00 UTC,17789131.55,15026795.54,7618.246667
2019-05-23 08:00:00 UTC,16872732.73,15501794.59,7581.318056
2019-05-23 09:00:00 UTC,14809902.57,15441275.95,7540.104211
2019-05-23 10:00:00 UTC,16107606.36,14036491.86,7602.404167
2019-05-23 11:00:00 UTC,17350215.02,13648936.68,7621.528611
2019-05-23 12:00:00 UTC,16301026.14,14307183.66,7590.091111
2019-05-23 13:00:00 UTC,18983288.85,14108130.21,7660.186944
2019-05-23 14:00:00 UTC,21145795.87,13737515.74,7715.066389
2019-05-23 15:00:00 UTC,23852534.7,13034416.7,7780.566316
2019-05-23 16:00:00 UTC,24302754.49,12321746.02,7825.429792
2019-05-23 17:00:00 UTC,23504318.5,12582093.84,7794.993333
2019-05-23 18:00:00 UTC,23127761.29,12862006.52,7779.701667
2019-05-23 19:00:00 UTC,22984649.71,14617739.62,7760.601957
2019-05-23 20:00:00 UTC,24502048.9,12738932.02,7814.745833
2019-05-23 21:00:00 UTC,24578207.84,11830028.66,7881.315625
2019-05-23 22:00:00 UTC,24969102.07,11679260.21,7928.677917
2019-05-23 23:00:00 UTC,24579031.81,11796628.39,7900.5925
2019-05-24 00:00:00 UTC,24109826.16,12224040.09,7864.159792
2019-05-24 01:00:00 UTC,24682650.82,12225547.38,7900.000625
2019-05-24 02:00:00 UTC,24178458.32,13179579.71,7856.606667
2019-05-24 03:00:00 UTC,24105306.95,13211207.25,7856.89875
2019-05-24 04:00:00 UTC,24208794.81,12948293.99,7860.020208
2019-05-24 05:00:00 UTC,23606784.02,13654436.27,7823.534348
2019-05-24 06:00:00 UTC,23866904.58,13663640.36,7847.325625
2019-05-24 07:00:00 UTC,24210751.01,13216459.21,7878.767083
2019-05-24 08:00:00 UTC,23714992.23,12102143,7964.235
2019-05-24 09:00:00 UTC,23493277.51,12231123.39,7966.309375
2019-05-24 10:00:00 UTC,24480004.16,11999425.2,7996.431042
2019-05-24 11:00:00 UTC,24702351.74,11254398.57,8025.7225
2019-05-24 12:00:00 UTC,25006542.23,11813432.63,8023.732885
2019-05-24 13:00:00 UTC,24727559.09,11797279.52,8002.816333
2019-05-24 14:00:00 UTC,25081647.44,11598652.04,8014.932833
2019-05-24 15:00:00 UTC,24405671.9,10413535.75,8104.915227
2019-05-24 16:00:00 UTC,21426096.72,10179248,8140.202778
2019-05-24 17:00:00 UTC,20750870.21,9911911.889,8083.243611
2019-05-24 18:00:00 UTC,21452758.98,9974080.866,8076.106111
2019-05-24 19:00:00 UTC,21918011.78,11098330.67,8041.549444
2019-05-24 20:00:00 UTC,21919683.06,10313343.77,8083.161667
2019-05-24 21:00:00 UTC,21682658.04,10033069.43,8097.931389
2019-05-24 22:00:00 UTC,21354500.16,10732485.43,8059.275833
2019-05-24 23:00:00 UTC,21108656.76,11430181.38,7991.783056
2019-05-25 00:00:00 UTC,20851506.57,11806290.99,8001.121765
2019-05-25 01:00:00 UTC,21343936.63,11482628.94,8037.025833
2019-05-25 02:00:00 UTC,21750337.95,11450913.63,8031.816389
2019-05-25 03:00:00 UTC,21990413.05,11581527.09,8020.598889
2019-05-25 04:00:00 UTC,22144881.34,12145623.74,8018.578611
2019-05-25 05:00:00 UTC,21644972.16,12665579.53,7994.086111
2019-05-25 06:00:00 UTC,21378797.79,12630568,7981.238333
2019-05-25 07:00:00 UTC,21368417.31,12939206.91,7979.861667
2019-05-25 08:00:00 UTC,21536983.65,12876032.59,8002.348333
2019-05-25 09:00:00 UTC,21213453.77,12000756.35,8041.053611
2019-05-25 10:00:00 UTC,20953236.82,10815416.32,8098.724706
2019-05-25 11:00:00 UTC,21148444.85,10955115.85,8112.670833
2019-05-25 12:00:00 UTC,21100234.5,11244763.69,8086.04
2019-05-25 13:00:00 UTC,20951325.46,11923467.29,8068.176944
2019-05-25 14:00:00 UTC,21478066.97,11992891.9,8054.642222
2019-05-25 15:00:00 UTC,22212217.58,11665767.21,8074.6875
2019-05-25 16:00:00 UTC,22261814.76,12662714.18,8051.700278
2019-05-25 17:00:00 UTC,22162964.05,13021718.7,8049.986389
2019-05-25 18:00:00 UTC,22285894.31,12214012.91,8078.2875
2019-05-25 19:00:00 UTC,21448855.54,13110501.72,8030.483611
2019-05-25 20:00:00 UTC,21792400.56,12487357.63,8047.172632
2019-05-25 21:00:00 UTC,22002064.56,12340107.46,8060.553333
2019-05-25 22:00:00 UTC,22896462.15,12041129.3,8066.383333
2019-05-25 23:00:00 UTC,23121712.68,12246314.87,8067.485
2019-05-26 00:00:00 UTC,23221193.87,12188974.5,8066.673333
2019-05-26 01:00:00 UTC,23460080.32,12755755.93,8045.398333
2019-05-26 02:00:00 UTC,23334752.64,12760852.02,8048.401667
2019-05-26 03:00:00 UTC,23598152.33,13018566.93,8022.288333
2019-05-26 04:00:00 UTC,23521844,12752617.3,8030.552222
2019-05-26 05:00:00 UTC,23378973.23,13318296.27,8007.250833
2019-05-26 06:00:00 UTC,23398232.69,13529012.78,7992.962778
2019-05-26 07:00:00 UTC,23498512.2,13479503.59,7997.339706
2019-05-26 08:00:00 UTC,23179486.38,13698984.79,7996.969722
2019-05-26 09:00:00 UTC,23535110.59,12852407.64,8015.935278
2019-05-26 10:00:00 UTC,22702707.76,13829059.28,7976.802778
2019-05-26 11:00:00 UTC,22542902.26,13493163.34,7942.301389
2019-05-26 12:00:00 UTC,22494568.81,13314867.91,7948.503333
2019-05-26 13:00:00 UTC,22682297.49,13416652.82,7960.620833
2019-05-26 14:00:00 UTC,23533267.57,12771490.86,7995.456944
2019-05-26 15:00:00 UTC,23585109.85,12779814.37,8003.029167
2019-05-26 16:00:00 UTC,23504693.58,13094370.88,8002.880833
2019-05-26 17:00:00 UTC,23620705.19,13127364.77,8007.508611
2019-05-26 18:00:00 UTC,23612371.5,13523966.89,8008.420882
2019-05-26 19:00:00 UTC,17350294.84,10840337.19,8239.688611
2019-05-26 20:00:00 UTC,10511382.27,9370901.91,8650.348333
2019-05-26 21:00:00 UTC,10943331.2,11427414.46,8611.748889
2019-05-26 22:00:00 UTC,11724155.95,11835880.03,8686.9575
2019-05-26 23:00:00 UTC,13474215.87,14583590.95,8721.215556
2019-05-27 00:00:00 UTC,13488616.31,13168967.64,8849.079722
2019-05-27 01:00:00 UTC,13464222.47,11392271.7,8863.8325
