Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
2019-05-19 04:00:00 UTC,37.8436918755552,46.5994251118836,45.3710616774658,53.2677956183038,43.5176106402823,34.7206563856034,43.7835663529059,41.6827605482247,47.7232136348265
2019-05-19 05:00:00 UTC,18.4518556913906,28.4454869889901,25.3078152290431,18.4713314646962,26.1224100438235,24.4809246344145,25.5840247711632,27.0665300380477,23.7733008827369
2019-05-19 06:00:00 UTC,13.7026223027225,14.3042728069944,12.9456390431456,18.5742439279626,14.5864361130056,16.6120820943074,15.4501196803977,15.0933176390483,15.3973957462336
2019-05-19 07:00:00 UTC,18.4468939536061,18.8046452027261,23.9965434600577,25.0313470174059,25.3628749940395,19.0864499058107,27.5687197341421,21.4425380300758,23.0864698562449
2019-05-19 08:00:00 UTC,12.3028505942148,11.1869334179237,13.1115377584156,14.765430142433,13.4551669879927,12.9264735892339,15.3913153077593,12.8106226409161,10.6284700122961
2019-05-19 09:00:00 UTC,25.9261340363552,40.0571966116071,45.3334551095577,45.2384873970296,45.3727565919353,26.6740720900272,42.3348633163609,43.7162098035321,42.9403183141768
2019-05-19 10:00:00 UTC,24.8284649724594,21.9778712928689,26.1382029033813,24.5760266177545,25.107088649462,19.3694294756967,22.6930517893088,24.2409474540778,25.6077050240074
2019-05-19 11:00:00 UTC,22.4537690274854,42.0240149871815,27.5187268983133,36.5543930960459,29.7263417195341,33.5412425054838,25.6883116831218,27.8607763438926,30.1637209706035
2019-05-19 12:00:00 UTC,55.9301924570029,43.6569156558194,61.6054807682296,96.6779141555154,65.0603704303213,53.8296589673418,67.1127590970246,62.3280616870257,64.1402656319078
2019-05-19 13:00:00 UTC,33.9011865806322,31.6312854517361,33.9465030440094,27.9898458112397,33.3226526302136,29.7378179255062,37.4018195079256,33.577402838236,34.0245601175311
2019-05-19 14:00:00 UTC,13.160970749299,12.5236056518133,13.0048679491757,13.2867107307626,13.4595649907046,12.1182033712251,16.7513103688086,16.8810290969723,12.8743495129137
2019-05-19 15:00:00 UTC,18.8755761808036,27.4643785695992,27.9578289134451,15.0479780791312,22.8334169138053,23.5697281926355,22.9404919371851,26.4309685714326,24.8001496935399
2019-05-19 16:00:00 UTC,27.6455007010104,25.3288813076392,25.1066274654242,18.2559217218315,21.7777864104436,28.3312646168851,25.3853659536479,24.6845110171819,22.6609864963397
2019-05-19 17:00:00 UTC,21.6325894927993,24.7091732225501,23.2177136466184,22.8090085222588,21.5915585014274,17.6068121103976,25.303522309826,21.5021668130372,22.8405946462486
2019-05-19 18:00:00 UTC,6.5058491606712,6.54403897176221,7.76937460093287,9.74745504552759,6.83544263074675,7.44243071546424,7.25212457131341,8.6869207724566,8.49789425662169
2019-05-19 19:00:00 UTC,25.2076810673889,29.9186449295527,36.5518010350388,20.1214363296803,31.1789618978694,25.5761081971442,41.1572281469192,34.6843790438895,40.9804339446082
2019-05-19 20:00:00 UTC,22.2624414104466,30.4128683992517,31.1182006977998,20.6663482161872,28.1388335438473,20.9403772141377,37.3118733288248,31.3371926334052,36.2367955327184
2019-05-19 21:00:00 UTC,22.0848578083102,22.2591028531471,18.619845033492,19.0877403445664,16.2076870703663,13.0796093936811,16.65549067,15.4664334600148,21.644640028401
2019-05-19 22:00:00 UTC,75.1115449314579,51.4639710752239,58.5509023695169,57.8916213060839,67.8050758799655,42.3720157564288,59.1795153368824,64.3910214007572,63.4567103256493
2019-05-19 23:00:00 UTC,32.7706481544747,27.0109281236754,29.7523319618922,26.0680143102811,31.9203705064725,16.8254354084021,31.5223724372836,30.5343925444158,30.4192834806239
2019-05-20 00:00:00 UTC,106.12800549134,83.9190705786453,94.5735292615838,94.1828919815998,92.3071762570837,81.199783886222,94.3627837496664,84.4230259626507,96.4456736594105
2019-05-20 01:00:00 UTC,36.6979621641315,26.1308856042347,31.4763017806941,29.2653579298098,32.1016056248874,25.0370847414925,32.081065057804,32.5610491844865,32.4372983520914
2019-05-20 02:00:00 UTC,22.0199758284098,27.4366291699393,21.5517444733712,29.2874234971942,23.7818796310491,18.6815323078078,22.7663858314587,26.3528610571211,23.6412060538277
2019-05-20 03:00:00 UTC,40.9256472000063,40.2901976054872,45.895756566269,41.6563212600425,45.2613011864281,45.5894774305832,37.1177181348787,36.5414052486213,45.4684123166925
2019-05-20 04:00:00 UTC,26.2273166023527,28.1490090105714,29.385630282331,27.113742853256,31.6098431314817,33.5586499473621,27.5643180404004,29.1297869894773,30.4491986776161
2019-05-20 05:00:00 UTC,29.6740194537307,14.0837074609111,19.6914488245544,12.1386675213999,19.5286009094482,18.4997140733546,16.2693712054107,19.4322623304261,21.6464128140904
2019-05-20 06:00:00 UTC,39.794387499876,42.9144567382065,47.3053903978983,34.3730537453061,46.9883431541156,40.6152066530608,43.3903131879578,43.1837820864906,46.1883216051241
2019-05-20 07:00:00 UTC,38.1343869974239,38.0809325289048,41.1772728800896,33.5819453802928,45.5450813257126,31.4620066880767,44.1178332825052,47.5965517862146,38.9184605397898
2019-05-20 08:00:00 UTC,23.6411987235708,35.9201960411468,37.5870362329059,38.4207615207133,46.7500705987978,28.1105921634076,45.714310647107,40.362607658243,64.8712479595302
2019-05-20 09:00:00 UTC,23.0417528599038,31.8564936933908,29.618246858108,23.3781156620584,29.2616709509654,23.550000657389,31.4498386828861,27.9521782277655,27.2761755070089
2019-05-20 10:00:00 UTC,15.5638681458393,15.857299693008,18.946732377195,17.5087326074729,20.0602497757325,18.4269920782257,20.3105547257042,23.7641615276588,20.1436479428875
