Time,bit-x,bitbay,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
2019-05-19 04:00:00 UTC,1.860775697,,0.009643716,0.062855019,0.319767202,0.028171478,0.25258671,0.062320295,0.08282831,0.057874986
2019-05-19 05:00:00 UTC,1.45349569,2.585879444,0.005010256,0.077614284,0.263927995,0.02300799,0.270207233,0.083303993,0.07244853,0.052884689
2019-05-19 06:00:00 UTC,1.687216667,,0.003067371,0.08905665,0.132538364,0.011557351,0.182083182,0.070043995,0.086157435,0.042424262
2019-05-19 07:00:00 UTC,1.50050431,0.47764167,0.002231324,0.086711755,0.131991242,0.015548889,0.160739336,0.039617549,0.087874158,0.023508046
2019-05-19 08:00:00 UTC,1.56545,,0.004205749,0.061496286,0.160691203,0.006056328,0.266210513,0.048561735,0.102829939,0.022817323
2019-05-19 09:00:00 UTC,1.317875929,2.010196448,0.003235377,0.079679019,0.191456018,0.015445885,0.135256663,0.084844889,0.067125591,0.03842564
2019-05-19 10:00:00 UTC,1.960607116,,0.005808312,0.090019367,0.282631933,0.022369324,0.158185972,0.073264695,0.052167726,0.036078669
2019-05-19 11:00:00 UTC,2.111751118,2.239612272,0.005040681,0.092868467,0.196069694,0.026087417,0.234960508,0.091601046,0.059100641,0.032027972
2019-05-19 12:00:00 UTC,2.022380976,,0.005329627,0.082364345,0.27804559,0.029843076,0.275831684,0.093104801,0.089477816,0.04337816
2019-05-19 13:00:00 UTC,2.058328563,0.823914744,0.006190162,0.08619523,0.177259373,0.021861178,0.249580501,0.107479151,0.084797823,0.021738489
2019-05-19 14:00:00 UTC,2.131341449,,0.004497124,0.094239399,0.144418022,0.023178863,0.209658382,0.123699563,0.069305836,0.024576935
2019-05-19 15:00:00 UTC,2.144117367,0.358636274,0.005075379,0.073070644,0.137635386,0.01821004,0.163102169,0.100285257,0.055806874,0.02884706
2019-05-19 16:00:00 UTC,2.080753571,,0.004175272,0.06523653,0.120497165,0.016037894,0.172926603,0.115153181,0.075165925,0.028854329
2019-05-19 17:00:00 UTC,2.112148598,0.981215303,0.005987209,0.085042434,0.129515227,0.01104052,0.230256568,0.112925875,0.071043066,0.032252514
2019-05-19 18:00:00 UTC,2.206276309,,0.0026294,0.112059223,0.156376586,0.006994164,0.146336909,0.090678403,0.051392034,0.027970197
2019-05-19 19:00:00 UTC,2.101644367,1.022575415,0.006814458,0.089264506,0.180487225,0.006090037,0.170033566,0.08535076,0.053658641,0.025219707
2019-05-19 20:00:00 UTC,2.110802987,,0.004146615,0.103046779,0.168414147,0.020337056,0.186352105,0.115324318,0.067071328,0.021066784
2019-05-19 21:00:00 UTC,2.180901949,2.790181818,0.006087879,0.08925757,0.203263138,0.023971837,0.163286284,0.092407095,0.039529867,0.02119738
2019-05-19 22:00:00 UTC,1.832192828,,0.011252235,0.076325231,0.200951397,0.013817956,0.226665079,0.069503112,0.058933025,0.027557577
2019-05-19 23:00:00 UTC,1.560948683,1.365873523,0.012794633,0.074248863,0.21487742,0.023953763,0.251147394,0.069971972,0.050354445,0.035850811
2019-05-20 00:00:00 UTC,1.404893734,,0.013513676,0.087724417,0.191931092,0.051898389,0.341566377,0.093406467,0.101094118,0.038526753
2019-05-20 01:00:00 UTC,2.068069168,2.428340994,0.01380703,0.074825938,0.200152379,0.026903196,0.315496427,0.080536545,0.078022762,0.056429945
2019-05-20 02:00:00 UTC,2.142516303,,0.007379456,0.087139951,0.194334351,0.022285232,0.402579797,0.085829271,0.094472887,0.035584589
2019-05-20 03:00:00 UTC,2.102126061,1.086203569,0.006562807,0.059788437,0.178164321,0.011269757,0.286341871,0.045180473,0.061704931,0.018085853
2019-05-20 04:00:00 UTC,2.035398678,,0.013092287,0.097033237,0.248881161,0.033615263,0.363344929,0.104753678,0.062909993,0.048886462
2019-05-20 05:00:00 UTC,2.014133558,1.200356344,0.005732507,0.068152737,0.127619188,0.020914443,0.333754474,0.056271083,0.05538555,0.021937277
2019-05-20 06:00:00 UTC,2.090228184,,0.00677087,0.056991662,0.102683997,0.015769936,0.270561721,0.044663543,0.034237309,0.041245549
2019-05-20 07:00:00 UTC,1.94121146,1.224425519,0.009385999,0.079067354,0.215358121,0.017805309,0.229765216,0.082300568,0.075914358,0.043661534
2019-05-20 08:00:00 UTC,1.805823488,,0.008596793,0.106192715,0.234062017,0.021186676,0.151136469,0.077029127,0.048359443,0.041446323
2019-05-20 09:00:00 UTC,1.907350975,0.420875104,0.009845629,0.073290557,0.242720385,0.019615635,0.216117671,0.081719035,0.044847081,0.045558829
2019-05-20 10:00:00 UTC,2.136043674,,0.002676037,0.085547885,0.17888357,0.009829897,0.152848057,0.084019012,0.013930435,0.023949678
2019-05-20 11:00:00 UTC,2.050059561,0.226467825,0.003743749,0.078855346,0.141964574,0.017202025,0.145647865,0.057964227,0.031694994,0.030665468
2019-05-20 12:00:00 UTC,1.553201656,,0.015205087,0.076488208,0.197087291,0.016835185,0.225404208,0.05829516,0.033874105,0.032594043
