Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,exmo,gemini,kraken,others
2019-05-19 04:00:00 UTC,2.5166666666666666,130.26666666666668,65.31666666666666,39.31666666666667,28.9,97.48333333333333,14.233333333333333,5.766666666666667,55.666666666666664,44.266666666666666
2019-05-19 05:00:00 UTC,2.533333333333333,89.01666666666667,41.35,23.416666666666668,22.483333333333334,66.75,11.583333333333334,3.0833333333333335,36.4,30.599999999999998
2019-05-19 06:00:00 UTC,2.5833333333333335,58.833333333333336,31.766666666666666,13.516666666666667,16.5,45.03333333333333,11.416666666666666,1.6666666666666667,29.366666666666667,23.93333333333333
2019-05-19 07:00:00 UTC,2.533333333333333,66.26666666666667,39.666666666666664,29.966666666666665,24.266666666666666,56.81666666666667,17.016666666666666,3.466666666666667,44.833333333333336,27.733333333333334
2019-05-19 08:00:00 UTC,2.45,39.8,27.883333333333333,19.783333333333335,19.416666666666668,44.36666666666667,12.733333333333333,1.85,32.21666666666667,24.883333333333333
2019-05-19 09:00:00 UTC,2.5,75.55,47.36666666666667,23.166666666666668,33.916666666666664,74.66666666666667,15.333333333333334,3.3333333333333335,66.05,30.71666666666667
2019-05-19 10:00:00 UTC,2.5166666666666666,86.3,60.25,29.25,37.9,92.0,21.083333333333332,3.433333333333333,71.43333333333334,42.96666666666667
2019-05-19 11:00:00 UTC,2.533333333333333,63.05,54.016666666666666,25.2,25.666666666666668,71.51666666666667,14.283333333333333,2.033333333333333,45.75,32.38333333333333
2019-05-19 12:00:00 UTC,2.4,89.25,79.25,34.516666666666666,41.35,107.6,22.033333333333335,9.383333333333333,83.81666666666666,45.48333333333334
2019-05-19 13:00:00 UTC,2.5833333333333335,56.666666666666664,48.8,25.6,24.066666666666666,87.26666666666667,12.833333333333334,5.8,44.766666666666666,29.183333333333334
2019-05-19 14:00:00 UTC,2.783333333333333,36.55,27.0,13.066666666666666,15.916666666666666,59.71666666666667,6.666666666666667,1.4,26.916666666666668,24.583333333333336
2019-05-19 15:00:00 UTC,2.45,43.63333333333333,21.95,12.55,14.6,64.11666666666666,7.3,1.8666666666666667,26.533333333333335,24.799999999999997
2019-05-19 16:00:00 UTC,2.4833333333333334,45.53333333333333,23.083333333333332,12.35,17.0,78.68333333333334,8.316666666666666,2.566666666666667,31.716666666666665,22.116666666666667
2019-05-19 17:00:00 UTC,2.4833333333333334,48.93333333333333,20.816666666666666,9.216666666666667,18.383333333333333,89.38333333333334,11.366666666666667,2.933333333333333,42.55,23.01666666666667
2019-05-19 18:00:00 UTC,2.3833333333333333,17.916666666666668,7.266666666666667,3.533333333333333,10.083333333333334,65.08333333333333,6.966666666666667,1.7166666666666668,20.1,15.666666666666664
2019-05-19 19:00:00 UTC,2.4,57.266666666666666,24.35,8.816666666666666,23.05,97.95,8.183333333333334,5.45,53.45,24.266666666666666
2019-05-19 20:00:00 UTC,2.6166666666666667,42.03333333333333,21.333333333333332,7.85,14.666666666666666,80.43333333333334,7.55,1.9833333333333334,42.15,15.816666666666668
2019-05-19 21:00:00 UTC,2.4833333333333334,52.416666666666664,27.133333333333333,10.183333333333334,20.1,85.1,8.916666666666666,2.283333333333333,54.78333333333333,21.33333333333333
2019-05-19 22:00:00 UTC,2.6,112.33333333333333,84.7,37.56666666666667,49.31666666666667,174.26666666666668,16.616666666666667,11.916666666666666,94.96666666666667,49.75
2019-05-19 23:00:00 UTC,2.7333333333333334,99.31666666666666,68.45,42.016666666666666,42.85,153.03333333333333,11.1,7.516666666666667,81.03333333333333,48.25
2019-05-20 00:00:00 UTC,2.4833333333333334,183.16666666666666,85.15,62.96666666666667,59.06666666666667,222.4,18.45,24.0,115.16666666666667,73.63333333333333
2019-05-20 01:00:00 UTC,2.6,48.016666666666666,37.55,23.3,14.783333333333333,72.1,4.583333333333333,3.7666666666666666,30.2,28.15
2019-05-20 02:00:00 UTC,2.4833333333333334,31.4,25.916666666666668,18.0,11.483333333333333,49.63333333333333,4.5,2.1666666666666665,19.35,21.53333333333333
2019-05-20 03:00:00 UTC,2.6166666666666667,44.21666666666667,36.3,20.733333333333334,19.266666666666666,58.083333333333336,6.1,5.15,33.25,31.28333333333333
2019-05-20 04:00:00 UTC,2.4833333333333334,46.416666666666664,41.733333333333334,27.25,18.383333333333333,64.08333333333333,7.4,4.216666666666667,35.166666666666664,38.93333333333333
2019-05-20 05:00:00 UTC,2.45,33.6,28.033333333333335,23.383333333333333,18.55,52.8,7.833333333333333,3.033333333333333,29.666666666666668,35.28333333333333
2019-05-20 06:00:00 UTC,2.683333333333333,43.5,42.666666666666664,18.683333333333334,22.466666666666665,56.416666666666664,13.333333333333334,4.9,35.9,33.71666666666667
2019-05-20 07:00:00 UTC,2.566666666666667,45.983333333333334,45.6,24.483333333333334,29.333333333333332,70.55,11.716666666666667,6.633333333333333,46.3,42.36666666666667
2019-05-20 08:00:00 UTC,2.433333333333333,82.8,50.05,38.28333333333333,31.216666666666665,89.25,17.083333333333332,6.066666666666666,75.11666666666666,46.38333333333333
2019-05-20 09:00:00 UTC,2.533333333333333,45.083333333333336,30.166666666666668,21.433333333333334,21.333333333333332,51.1,9.816666666666666,2.783333333333333,38.9,33.38333333333334
2019-05-20 10:00:00 UTC,2.4833333333333334,30.116666666666667,21.8,18.333333333333332,20.516666666666666,52.93333333333333,8.833333333333334,1.7833333333333332,34.45,30.21666666666667
2019-05-20 11:00:00 UTC,2.5166666666666666,41.46666666666667,32.55,19.45,20.55,63.61666666666667,7.433333333333334,2.65,36.28333333333333,32.416666666666664
