bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,asks,bids,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,exmo,gemini,kraken,others,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,bit-x,bitbay,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,kraken,others
1.8607756969999998,0.009643716,0.062855019,0.319767202,0.028171478,0.25258671,0.062320295,0.08282831,0.057874985999999996,16652989.4,5993605.352999999,7915.35380952381,7894.902428891321,7937.02749154835,7927.90176211453,7933.23929032256,7883.04053213433,7938.53632947976,7935.39534883721,7942.39185544769,2.5166666666666666,130.26666666666668,65.31666666666666,39.31666666666667,28.9,97.48333333333332,14.233333333333333,5.7666666666666675,55.66666666666666,44.26666666666666,37.84369187555521,46.599425111883605,45.3710616774658,53.26779561830379,43.5176106402823,34.7206563856034,43.7835663529059,41.6827605482247,47.7232136348265,223.9583,155.37041257,1812.30465422998,734.4016018799921,586.444903549999,1458.17676194,1722.66419154999,102.3504985661,1136.86004111,534.422454769372
1.45349569,0.005010255999999999,0.077614284,0.263927995,0.02300799,0.270207233,0.08330399299999999,0.07244853,0.052884689000000006,15808949.13,6378379.646000001,7960.864193548391,7925.28086798265,7962.70127678572,7969.03202614379,7967.977491483442,7912.7227825320915,7971.68308108109,7962.134615384621,7965.388711194731,2.533333333333333,89.01666666666668,41.35,23.41666666666667,22.48333333333333,66.75,11.583333333333336,3.083333333333333,36.4,30.6,18.451855691390602,28.4454869889901,25.3078152290431,18.4713314646962,26.1224100438235,24.4809246344145,25.5840247711632,27.0665300380477,23.773300882736898,233.053,255.09059379,869.7767852899631,453.00461878999704,335.66985769,710.65001303,919.12866644,58.0147018295,622.86443307,344.398697060801
1.687216667,0.0030673709999999997,0.08905665,0.132538364,0.011557351,0.18208318199999998,0.070043995,0.086157435,0.042424262000000004,16091307.33,6584688.795,7949.0646875,7917.47437233333,7952.9012278480905,7958.685981308409,7953.144082618041,7897.74250237665,7949.6791,7961.198170731709,7953.639912280691,2.583333333333333,58.83333333333334,31.766666666666666,13.516666666666667,16.5,45.03333333333333,11.416666666666664,1.6666666666666667,29.36666666666667,23.93333333333333,13.7026223027225,14.3042728069944,12.945639043145599,18.574243927962602,14.5864361130056,16.6120820943074,15.450119680397698,15.0933176390483,15.397395746233599,260.3909,169.00367453,353.73488577998296,292.263479929999,160.46147575,298.4246272,456.78314669,24.89109565,366.12660719,209.74716270362632
1.50050431,0.002231324,0.086711755,0.13199124199999998,0.015548889,0.16073933599999998,0.039617549,0.08787415800000001,0.023508046,15875941.3,6773587.812999999,7971.18,7934.338760914191,7975.311656222041,7990.478289473679,7970.66624566616,7907.239293210269,7975.13615384616,7975.677966101701,7977.381599229279,2.533333333333333,66.26666666666667,39.66666666666666,29.966666666666665,24.266666666666666,56.81666666666667,17.016666666666666,3.466666666666667,44.83333333333334,27.73333333333333,18.446893953606104,18.804645202726103,23.996543460057698,25.031347017405896,25.3628749940395,19.0864499058107,27.568719734142103,21.442538030075802,23.086469856244896,256.9303,128.92574089,679.224298859982,422.740292599997,380.85603388,497.927104219999,582.36141813,56.099740812700006,697.187869169999,288.62326336977884
1.56545,0.004205749,0.061496286,0.160691203,0.006056328000000001,0.266210513,0.048561735,0.10282993900000001,0.022817322999999997,15844463.99,7008048.792,7959.815517241379,7928.696164391959,7960.05610630408,7972.74383561644,7957.153174136641,7901.18146231654,7960.7645945945915,7958.73670212766,7959.60512422361,2.45,39.8,27.88333333333333,19.78333333333333,19.416666666666668,44.36666666666667,12.733333333333333,1.85,32.21666666666667,24.88333333333333,12.302850594214801,11.186933417923699,13.111537758415599,14.765430142432999,13.4551669879927,12.926473589233902,15.391315307759301,12.8106226409161,10.6284700122961,233.0854,104.72653275,435.349280309985,278.08029510000006,239.05022619000098,272.81164319,483.73387394,30.3791317726,445.36513898,247.52924340388282
1.3178759290000002,0.0032353770000000002,0.079679019,0.191456018,0.015445885,0.135256663,0.084844889,0.067125591,0.03842564,15946860.28,7464545.6729999995,7995.285,7989.12101909675,8028.691096856949,8037.35984848485,8030.80725727237,7936.283518732891,8046.5854,8021.73397435897,8035.734570082471,2.5,75.55,47.36666666666667,23.16666666666667,33.916666666666664,74.66666666666667,15.333333333333336,3.333333333333333,66.05,30.71666666666667,25.9261340363552,40.057196611607104,45.333455109557704,45.2384873970296,45.3727565919353,26.6740720900272,42.334863316360895,43.7162098035321,42.9403183141768,223.9271,76.43856156,1103.904633,484.41645619999997,325.223657190001,671.801796699999,1159.3286103,53.1210899399999,929.844708719999,318.7734721254062
1.960607116,0.0058083119999999995,0.09001936699999999,0.282631933,0.022369324,0.15818597199999998,0.073264695,0.052167726,0.036078669,16305936.88,6497453.886,8095.98935483871,8059.22475627085,8106.187941888621,8126.272413793101,8106.4586657400905,8011.11599459473,8108.5345631068,8115.7282608695705,8107.489200863921,2.5166666666666666,86.3,60.25,29.25,37.9,92.0,21.08333333333333,3.433333333333333,71.43333333333334,42.96666666666667,24.828464972459397,21.9778712928689,26.1382029033813,24.5760266177545,25.107088649462,19.3694294756967,22.6930517893088,24.2409474540778,25.607705024007398,225.1244,63.28028991,1406.3315550100199,747.883456569991,393.06340277,929.576654349998,1113.97815841,91.51341197189991,1302.71882838,406.927931426901
2.111751118,0.005040681,0.092868467,0.196069694,0.026087417,0.234960508,0.09160104599999999,0.059100640999999995,0.032027972,16184180.2,7200873.239,8071.006538461541,8002.704824827991,8056.5999733096205,8075.03105590062,8058.898336065541,7959.07189113793,8061.9531147541,8044.3550955414,8050.632514734771,2.533333333333333,63.05,54.01666666666666,25.2,25.66666666666667,71.51666666666667,14.283333333333333,2.033333333333333,45.75,32.38333333333333,22.4537690274854,42.0240149871815,27.518726898313304,36.5543930960459,29.7263417195341,33.5412425054838,25.6883116831218,27.860776343892603,30.1637209706035,251.7112,26.11375673,860.983352069979,540.9232865299961,301.610424300001,576.832980089999,994.639477169998,37.7609874936,650.084523260001,341.14582733226104
2.022380976,0.005329626999999999,0.082364345,0.27804559,0.029843076,0.27583168399999997,0.093104801,0.089477816,0.04337816,15624414.5,6655195.905,7963.7825,7913.8149248626905,7935.12932639648,7900.175816993459,7929.87674449633,7827.97495927894,7889.422611012421,7922.3801498127295,7917.75659050965,2.4,89.25,79.25,34.516666666666666,41.35,107.6,22.03333333333333,9.383333333333333,83.81666666666666,45.48333333333334,55.930192457002896,43.6569156558194,61.6054807682296,96.67791415551541,65.0603704303213,53.82965896734179,67.11275909702461,62.3280616870257,64.1402656319078,219.8757,107.05814040000001,1025.9913638999801,862.2367188699809,462.49633481,1194.70153222,2181.48675936999,328.281524863,1574.55007017999,505.783073389976
2.0583285630000003,0.006190162,0.08619523,0.177259373,0.021861178,0.249580501,0.107479151,0.08479782300000001,0.021738489,15218951.93,6595297.848999999,7932.551290322579,7918.310088146949,7932.888301158291,7967.333620689649,7929.196359537909,7829.314741720699,7929.853189655171,7921.925824175821,7921.54741035857,2.583333333333333,56.66666666666666,48.8,25.6,24.066666666666666,87.26666666666668,12.833333333333336,5.8,44.76666666666666,29.18333333333333,33.9011865806322,31.6312854517361,33.9465030440094,27.9898458112397,33.3226526302136,29.7378179255062,37.4018195079256,33.577402838236,34.0245601175311,251.5155,186.83643069,533.500846829987,500.05761574999804,260.06210940000096,741.634066839998,989.97051376,201.9940128393,706.20624591,371.1377039360286
